uniqueDirectors
Joel Gallen
Ash Baron-Cohen
Edoardo Leo
Chuck Russell
Johan Grimonprez
Marcus Dunstan
Dan Cutforth
Niels Arden Oplev
John Cromwell
Don Scardino
Charles T. Kanganis
Raja Gosnell
Michael Gottlieb
Scott Cooper
Michael Radford
Jeff Nichols
David Caffrey
Bo Welch
Gauri Shinde
Nigel Finch
Gil Junger
Jean-Claude Van Damme
Joseph Anthony
Lili Fini Zanuck
Juan Carlos Fresnadillo
Dennis Gansel
Brad J. Silverman
Joseph Dorman
Alex Gibney
Gerry Lively
Rachid Bouchareb
Jason Stoddard
W.W. Young
John Fawcett
David Giles
Benny Chan
Simon Curtis
Anthony Leondis
Sue Corcoran
Mahesh Manjrekar
Dan Mazer
Hatsuki Tsuji
Harry Baweja
Anjali Menon
Irwin Winkler
Marcos Carnevale
Yan Vizinberg
Tom Donahue
Lutz Dammbeck
Mora Stephens
Frank Simon
Angelina Jolie
Claude Barras
Rob Reiner
Danny Boyle
Marcel Rasquin
Michael Lange
Derek Lee
Mike Figgis
Yam Laranas
Haile Gerima
Robert Ellis Miller
David Robert Mitchell
Jeff Nathanson
Thaddaeus Scheel
Roger Allers
Vera Farmiga
Regardt van den Bergh
John Harlow
Joanna Coates
Hideo Nakata
Toby Wilkins
Miguel Arteta
Jacques Perrin
Robert Eggers
Vikram Kumar
Duke Johnson
Sooraj R. Barjatya
Shuhei Morita
Callan Brunker
David Seltzer
Sean Anders
Aleksi MÃ_kelÃ_
Ron Howard
Chris Fisher
Richard Quine
Russ Meyer
J.J. Abrams
Clyde Geronimi
Tsai Ming-liang
Alki David
Jalmari Helander
Stefen Fangmeier
Phil Karlson
John Harrison
Fred Dekker
Drew Barrymore
Adam Elliot
Laurie Collyer
Antony Hoffman
Sergei Bodrov Jr.
Malcolm D. Lee
Jon Hurwitz
Jim Field Smith
Simon Shore
Kevin Smith
Phyllida Lloyd
Tarun Mansukhani
Danny Pang
Brian Robbins
John Glen
Pernilla August
Armand Schaefer
Piers Haggard
AndrÃ© TÃ©chinÃ©
John Polson
John Penney
Billy Crystal
Michael Wadleigh
Michael Patrick King
Nate Parker
Erik White
Peter Berg
Rob Epstein
Lake Bell
Stephen Gyllenhaal
Martin Lawrence
Jay Russell
Jean Cocteau
Fernando E. Solanas
Douglas Cheek
Jaume Collet-Serra
Etan Cohen
Kirk De Micco
David Chase
Andrzej Bartkowiak
Stephen S. Campanelli
Jon Matthews
Maurice Tourneur
Jack Bender
Menhaj Huda
Jack Conway
Mel Smith
Jake Kasdan
Marco Berger
David Ayer
Lewis Gilbert
Christopher Coppola
Akira Kurosawa
Joel Coen
Wallace Worsley
Albert Hughes
Henry King
Richard E. Grant
Stephen Hopkins
Asger Leth
Ronald F. Maxwell
Jeff Crook
Peter Billingsley
Peter Lord
Sergio Leone
Danny Cannon
James Gray
Mike McCoy
George Scribner
Richard Fleischer
F. Javier GutiÃ©rrez
Frederick Stephani
Daniel Sackheim
Garry Marshall
Adam Rapp
Godfrey Reggio
J.C. Chandor
Alex Zamm
Jason Winer
Herbert Wise
Christopher Cain
Yann Arthus-Bertrand
Katsuhiro ÅŒtomo
Siddique
Dick Maas
Tony Mitchell
Dolph Lundgren
Warren P. Sonoda
John Whitesell
Gilles Lellouche
Justin Chadwick
Gary Sherman
Brian Levant
Sergei Glezin
Nacho Vigalondo
Drake Doremus
Brandon Trost
Joe Nussbaum
Nick Park
Stephen Kijak
Igor Zaytsev
Hajime Kadoi
Jack Hofsiss
Mijke de Jong
Levan Akin
Jim Taihuttu
