title,original_title,budget,revenue,profit,success,belongs_to_collection,count_language,runtime,genre,genre_encode,genres,release_date,director,actors
Babel,Babel,25000000,135330182.0,110330182.0,1,0,6,143.0,Drama,6,Drama,2006-09-08,Alejandro González Iñárritu,Brad Pitt
Prophecy,Prophecy,12000000,54000000.0,42000000.0,1,0,1,102.0,Horror,11,"Horror,Science Fiction",1979-01-01,John Frankenheimer,Talia Shire
Little Man,Little Man,64000000,101595121.0,37595121.0,1,0,1,98.0,Comedy,3,"Comedy,Crime",2006-08-31,Keenen Ivory Wayans,Marlon Wayans
Monster House,Monster House,75000000,140175006.0,65175006.0,1,0,1,91.0,Animation,2,"Animation,Comedy,Family,Fantasy",2006-07-21,Gil Kenan,Ryan Newman
Snakes on a Plane,Snakes on a Plane,33000000,62022014.0,29022014.0,1,0,2,105.0,Action,0,"Action,Crime,Horror,Thriller",2006-08-06,David R. Ellis,Samuel L. Jackson
Scoop,Scoop,4000000,31584901.0,27584901.0,1,0,1,96.0,Comedy,3,"Comedy,Mystery",2006-07-27,Woody Allen,Scarlett Johansson
Talladega Nights: The Ballad of Ricky Bobby,Talladega Nights: The Ballad of Ricky Bobby,72500000,162966177.0,90466177.0,1,0,1,116.0,Comedy,3,Comedy,2006-08-04,Adam McKay,Will Ferrell
Night at the Museum,Night at the Museum,110000000,574480841.0,464480841.0,1,1,3,108.0,Action,0,"Action,Adventure,Comedy,Family,Fantasy",2006-10-20,Shawn Levy,Ben Stiller
World Trade Center,World Trade Center,63000000,162945894.0,99945894.0,1,0,1,128.0,Drama,6,"Drama,History,Thriller",2006-08-09,Oliver Stone,Nicolas Cage
Stranger Than Fiction,Stranger Than Fiction,30000000,53653224.0,23653224.0,1,0,1,113.0,Comedy,3,"Comedy,Drama,Fantasy,Romance",2006-09-09,Marc Forster,Will Ferrell
The Valley of Decision,The Valley of Decision,2160000,9132000.0,6972000.0,1,0,1,119.0,Drama,6,Drama,1945-06-01,Tay Garnett,Greer Garson
Miami Vice,Miami Vice,135000000,163794509.0,28794509.0,1,0,2,134.0,Action,0,"Action,Adventure,Crime,Thriller",2006-07-27,Michael Mann,Jamie Foxx
The Pursuit of Happyness,The Pursuit of Happyness,55000000,307077295.0,252077295.0,1,0,2,117.0,Drama,6,Drama,2006-12-14,Gabriele Muccino,Will Smith
John Tucker Must Die,John Tucker Must Die,18000000,41009669.0,23009669.0,1,0,1,87.0,Comedy,3,Comedy,2006-07-27,Betty Thomas,Jesse Metcalfe
The Ant Bully,The Ant Bully,50000000,55181129.0,5181129.0,1,0,1,88.0,Fantasy,8,"Fantasy,Adventure,Animation,Comedy,Family",2006-07-27,John A. Davis,Julia Roberts
Mrs Palfrey at The Claremont,Mrs Palfrey at The Claremont,750000,1720953.0,970953.0,1,0,1,108.0,Comedy,3,"Comedy,Drama",2005-11-25,Dan Ireland,Joan Plowright
Crank,Crank,12000000,42931041.0,30931041.0,1,1,3,88.0,Action,0,"Action,Thriller,Crime",2006-08-31,Brian Taylor,Jason Statham
Black Gold,Black Gold,40000000,5446000.0,-34554000.0,0,0,1,130.0,Adventure,1,"Adventure,Drama",2011-12-21,Jean-Jacques Annaud,Mark Strong
Black Gold,Black Gold,40000000,5446000.0,-34554000.0,0,0,1,130.0,Adventure,1,"Adventure,Drama",2011-12-21,Jean-Jacques Annaud,Mark Strong
Black Gold,Black Gold,40000000,5446000.0,-34554000.0,0,0,1,130.0,Adventure,1,"Adventure,Drama",2011-12-21,Jean-Jacques Annaud,Mark Strong
Black Gold,Black Gold,40000000,5446000.0,-34554000.0,0,0,1,130.0,Adventure,1,"Adventure,Drama",2011-12-21,Jean-Jacques Annaud,Mark Strong
Chaos,Chaos,20000000,10289.0,-19989711.0,0,0,1,106.0,Drama,6,"Drama,Action,Crime",2005-01-17,Tony Giglio,Jason Statham
Barnyard,Barnyard,51000000,72779000.0,21779000.0,1,0,1,90.0,Animation,2,"Animation,Comedy,Family",2006-08-04,Steve Oedekerk,Courteney Cox
Step Up,Step Up,12000000,114194847.0,102194847.0,1,1,1,104.0,Music,12,"Music,Drama,Romance,Crime",2006-08-11,Anne Fletcher,Channing Tatum
Zoom,Zoom,35000000,12506188.0,-22493812.0,0,0,1,83.0,Family,7,"Family,Fantasy,Comedy",2006-08-11,Peter Hewitt,Tim Allen
Bon Cop Bad Cop,Bon Cop Bad Cop,8000000,12671300.0,4671300.0,1,1,2,116.0,Action,0,"Action,Comedy,Crime",2006-07-06,Erik Canuel,Patrick Huard
Half Nelson,Half Nelson,700000,4911725.0,4211725.0,1,0,1,107.0,Drama,6,Drama,2006-08-11,Ryan Fleck,Ryan Gosling
Tideland,Tideland,12000000,566611.0,-11433389.0,0,0,1,120.0,Fantasy,8,"Fantasy,Drama,Thriller,Science Fiction",2005-09-09,Terry Gilliam,Jodelle Ferland
Cabin in the Sky,Cabin in the Sky,662141,1606624.0,944483.0,1,0,1,98.0,Fantasy,8,"Fantasy,Music",1943-04-09,Vincente Minnelli,Ethel Waters
Accepted,Accepted,23000000,38505009.0,15505009.0,1,0,1,93.0,Comedy,3,Comedy,2006-08-18,Steve Pink,Justin Long
The Illusionist,The Illusionist,40000000,86915017.0,46915017.0,1,0,1,110.0,Fantasy,8,"Fantasy,Drama,Thriller,Romance",2006-08-18,Neil Burger,Edward Norton
The Queen,The Queen,15000000,123384128.0,108384128.0,1,0,3,103.0,Drama,6,Drama,2006-09-15,Stephen Frears,Helen Mirren
Beerfest,Beerfest,17500000,19179969.0,1679969.0,1,0,2,110.0,Comedy,3,Comedy,2006-08-25,Jay Chandrasekhar,Erik Stolhanske
The Wicker Man,The Wicker Man,40000000,38755073.0,-1244927.0,0,0,1,102.0,Mystery,13,"Mystery,Thriller,Horror",2006-09-01,Neil LaBute,Nicolas Cage
Crossover,Crossover,5800000,7000000.0,1200000.0,1,0,1,95.0,Action,0,"Action,Adventure,Drama",2006-09-01,Preston A. Whitmore II,Anthony Mackie
The Quiet,The Quiet,900000,381420.0,-518580.0,0,0,1,96.0,Drama,6,"Drama,Thriller",2005-09-12,Jamie Babbit,Elisha Cuthbert
The Wind That Shakes the Barley,The Wind That Shakes the Barley,6500000,22889018.0,16389018.0,1,0,3,124.0,Drama,6,"Drama,History,War",2006-06-23,Ken Loach,Cillian Murphy
The Covenant,The Covenant,20000000,37597471.0,17597471.0,1,0,1,97.0,Action,0,"Action,Adventure,Fantasy,Horror,Science Fiction,Thriller",2006-09-08,Renny Harlin,Steven Strait
Sherrybaby,Sherrybaby,2000000,622806.0,-1377194.0,0,0,1,96.0,Drama,6,Drama,2006-09-08,Laurie Collyer,Maggie Gyllenhaal
Idiocracy,Idiocracy,30000000,495303.0,-29504697.0,0,0,1,84.0,Adventure,1,"Adventure,Comedy,Science Fiction",2006-09-01,Mike Judge,Luke Wilson
The Fountain,The Fountain,35000000,15304890.0,-19695110.0,0,0,1,96.0,Drama,6,"Drama,Adventure,Science Fiction,Romance",2006-09-06,Darren Aronofsky,Hugh Jackman
The Science of Sleep,La science des rêves,6000000,9524340.0,3524340.0,1,0,3,105.0,Comedy,3,"Comedy,Drama,Fantasy",2006-02-11,Michel Gondry,Gael García Bernal
Initial D,Tau man ji D,1549000,7096000.0,5547000.0,1,0,2,107.0,Action,0,"Action,Crime,Thriller,Drama",2005-05-12,Andrew Lau,Jay Chou
The Black Dahlia,The Black Dahlia,50000000,49111202.0,-888798.0,0,0,1,121.0,Drama,6,Drama,2006-09-15,Brian De Palma,Josh Hartnett
Gridiron Gang,Gridiron Gang,30000000,41480851.0,11480851.0,1,0,1,125.0,Action,0,"Action,Adventure,Crime,Drama",2006-09-15,Phil Joanou,Dwayne Johnson
Vixen!,Vixen!,76000,6000000.0,5924000.0,1,1,1,70.0,Comedy,3,"Comedy,Drama,Romance",1968-10-15,Russ Meyer,Erica Gavin
Apocalypto,Apocalypto,40000000,120175290.0,80175290.0,1,0,1,139.0,Action,0,"Action,Adventure,Drama,Thriller",2006-12-07,Mel Gibson,Rudy Youngblood
Flyboys,Flyboys,60000000,17800000.0,-42200000.0,0,0,2,140.0,Action,0,"Action,Adventure,Drama,History,Romance,War",2006-09-22,Tony Bill,James Franco
Jackass Number Two,Jackass Number Two,11000000,72778712.0,61778712.0,1,1,1,95.0,Action,0,"Action,Comedy,Documentary",2006-09-22,Jeff Tremaine,Johnny Knoxville
All the King's Men,All the King's Men,55000000,9450897.0,-45549103.0,0,0,1,125.0,Drama,6,"Drama,Thriller",2006-09-10,Steven Zaillian,Sean Penn
Conversations with Other Women,Conversations with Other Women,450000,973525.0,523525.0,1,0,1,84.0,Drama,6,"Drama,Romance",2006-06-07,Hans Canosa,Helena Bonham Carter
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,18000000,261572744.0,243572744.0,1,0,3,82.0,Comedy,3,Comedy,2006-11-01,Larry Charles,Sacha Baron Cohen
Pan's Labyrinth,El laberinto del fauno,19000000,83258226.0,64258226.0,1,0,1,118.0,Fantasy,8,"Fantasy,Drama,War",2006-05-27,Guillermo del Toro,Ivana Baquero
The Guardian,The Guardian,70000000,55011732.0,-14988268.0,0,0,1,139.0,Action,0,"Action,Adventure,Drama",2006-09-28,Andrew Davis,Kevin Costner
Open Season,Open Season,85000000,197309027.0,112309027.0,1,1,1,83.0,Adventure,1,"Adventure,Animation,Family",2006-09-29,Jill Culton,Martin Lawrence
School for Scoundrels,School for Scoundrels,20000000,17807569.0,-2192431.0,0,0,1,100.0,Comedy,3,"Comedy,Drama,Romance",2006-09-29,Todd Phillips,Billy Bob Thornton
The Departed,The Departed,90000000,289847354.0,199847354.0,1,0,2,151.0,Drama,6,"Drama,Thriller,Crime",2006-10-05,Martin Scorsese,Leonardo DiCaprio
Employee of the Month,Employee of the Month,12000000,38368909.0,26368909.0,1,0,2,103.0,Comedy,3,"Comedy,Romance",2006-10-06,Greg Coolidge,Dane Cook
Stormbreaker,Stormbreaker,40000000,23937870.0,-16062130.0,0,0,1,93.0,Adventure,1,"Adventure,Action,Family",2006-07-21,Geoffrey Sax,Alex Pettyfer
Running with Scissors,Running with Scissors,12000000,6754898.0,-5245102.0,0,0,1,116.0,Drama,6,"Drama,Comedy",2006-10-27,Ryan Murphy,Annette Bening
The Grudge 2,The Grudge 2,20000000,39143839.0,19143839.0,1,1,3,102.0,Horror,11,"Horror,Thriller",2006-10-13,Takashi Shimizu,Sarah Michelle Gellar
Man of the Year,Man of the Year,20000000,41237648.0,21237648.0,1,0,1,115.0,Comedy,3,"Comedy,Drama,Romance,Thriller",2006-10-09,Barry Levinson,Robin Williams
The Marine,The Marine,20000000,22165608.0,2165608.0,1,1,2,92.0,Action,0,"Action,Adventure,Drama,Thriller",2006-10-13,John Bonito,John Cena
Infamous,Infamous,13000000,1151330.0,-11848670.0,0,0,2,110.0,Drama,6,Drama,2006-11-16,Douglas McGrath,Sigourney Weaver
One Night with the King,One Night with the King,20000000,13391174.0,-6608826.0,0,0,1,123.0,Drama,6,Drama,2006-10-13,Michael O. Sajbel,Tiffany Dupont
Little Children,Little Children,26000000,14821658.0,-11178342.0,0,0,1,136.0,Romance,14,"Romance,Drama",2006-10-06,Todd Field,Kate Winslet
F.I.S.T.,F.I.S.T.,11,11.0,0.0,0,0,1,145.0,Drama,6,"Drama,Action",1978-04-26,Norman Jewison,Sylvester Stallone
Facing the Giants,Facing the Giants,100000,10178331.0,10078331.0,1,0,1,111.0,Drama,6,Drama,2006-09-29,Alex Kendrick,James Blackwell
The Last King of Scotland,The Last King of Scotland,6000000,48027970.0,42027970.0,1,0,4,121.0,Drama,6,Drama,2006-09-01,Kevin Macdonald,Forest Whitaker
Shortbus,Shortbus,2000000,5179037.0,3179037.0,1,0,1,101.0,Romance,14,"Romance,Drama,Comedy",2006-05-20,John Cameron Mitchell,Sook-Yin Lee
Children of Men,Children of Men,76000000,69959751.0,-6040249.0,0,0,1,109.0,Drama,6,"Drama,Action,Thriller,Science Fiction",2006-09-22,Alfonso Cuarón,Clive Owen
The Prestige,The Prestige,40000000,109676311.0,69676311.0,1,0,1,130.0,Drama,6,"Drama,Mystery,Thriller",2006-10-19,Christopher Nolan,Hugh Jackman
Flags of Our Fathers,Flags of Our Fathers,90000000,65900249.0,-24099751.0,0,1,1,132.0,War,18,"War,Drama,History",2006-10-18,Clint Eastwood,Ryan Phillippe
Flicka,Flicka,15000000,21000000.0,6000000.0,1,0,1,95.0,Drama,6,Drama,2006-10-20,Michael Mayer,Tim McGraw
9th Company,9 рота,9500000,24000000.0,14500000.0,1,0,1,139.0,Drama,6,"Drama,History,War,Action",2005-09-19,Fyodor Bondarchuk,Aleksey Chadov
Saw III,Saw III,10000000,163876815.0,153876815.0,1,1,1,108.0,Horror,11,"Horror,Thriller,Crime",2006-10-27,Darren Lynn Bousman,Tobin Bell
Death of a President,Death of a President,2000000,167000.0,-1833000.0,0,0,1,97.0,Documentary,5,"Documentary,Drama,Science Fiction",2006-10-27,Gabriel Range,Hend Ayoub
The Charge of the Light Brigade,The Charge of the Light Brigade,1200000,2736000.0,1536000.0,1,0,1,115.0,Action,0,"Action,Adventure,Drama,War",1936-10-20,Michael Curtiz,Errol Flynn
Flushed Away,Flushed Away,149000000,64459316.0,-84540684.0,0,0,1,85.0,Adventure,1,"Adventure,Animation,Comedy,Family",2006-10-22,David Bowers,Hugh Jackman
Perfume: The Story of a Murderer,Perfume: The Story of a Murderer,50000000,132180323.0,82180323.0,1,0,1,147.0,Crime,4,"Crime,Fantasy,Drama",2006-09-13,Tom Tykwer,Ben Whishaw
The Santa Clause 3: The Escape Clause,The Santa Clause 3: The Escape Clause,12000000,84500122.0,72500122.0,1,1,1,98.0,Comedy,3,"Comedy,Family,Adventure",2006-11-01,Michael Lembeck,Tim Allen
A Good Year,A Good Year,35000000,42064105.0,7064105.0,1,0,3,118.0,Comedy,3,"Comedy,Drama,Romance",2006-09-09,Ridley Scott,Russell Crowe
The Return,The Return,15000000,11992014.0,-3007986.0,0,0,1,85.0,Drama,6,"Drama,Horror,Thriller",2006-11-10,Asif Kapadia,Adam Scott
For Your Consideration,For Your Consideration,12000000,5542025.0,-6457975.0,0,0,1,86.0,Comedy,3,"Comedy,Drama",2006-11-22,Christopher Guest,"""Catherine OHara"""
Casino Royale,Casino Royale,150000000,599045960.0,449045960.0,1,1,2,144.0,Adventure,1,"Adventure,Action,Thriller",2006-11-14,Martin Campbell,Daniel Craig
Happy Feet,Happy Feet,100000000,384335608.0,284335608.0,1,1,1,108.0,Animation,2,"Animation,Comedy",2006-11-16,George Miller,Elijah Wood
Let's Go to Prison,Let's Go to Prison,4000000,4630045.0,630045.0,1,0,4,84.0,Comedy,3,"Comedy,Crime",2006-11-17,Bob Odenkirk,Dax Shepard
Déjà Vu,Déjà Vu,75000000,180557550.0,105557550.0,1,0,1,126.0,Action,0,"Action,Thriller,Science Fiction",2006-11-22,Tony Scott,Denzel Washington
The Holiday,The Holiday,85000000,194168700.0,109168700.0,1,0,1,136.0,Comedy,3,"Comedy,Romance",2006-12-08,Nancy Meyers,Cameron Diaz
Snow Cake,Snow Cake,12000000,1381665.0,-10618335.0,0,0,2,112.0,Romance,14,"Romance,Drama",2006-02-09,Marc Evans,Alan Rickman
Harsh Times,Harsh Times,2000000,5967038.0,3967038.0,1,0,3,120.0,Crime,4,"Crime,Drama,Thriller,Action",2005-09-11,David Ayer,Christian Bale
Tenacious D in The Pick of Destiny,Tenacious D in The Pick of Destiny,22000000,13405595.0,-8594405.0,0,0,1,93.0,Comedy,3,"Comedy,Music",2006-11-22,Liam Lynch,Jack Black
Blood Diamond,Blood Diamond,100000000,170877916.0,70877916.0,1,0,2,143.0,Drama,6,"Drama,Thriller,Action",2006-12-07,Edward Zwick,Leonardo DiCaprio
Charlotte's Web,Charlotte's Web,85000000,144000000.0,59000000.0,1,0,1,97.0,Comedy,3,"Comedy,Family,Fantasy",2006-12-15,Gary Winick,Julia Roberts
Eragon,Eragon,100000000,249288105.0,149288105.0,1,0,1,104.0,Fantasy,8,"Fantasy,Action,Adventure,Family",2006-12-14,Stefen Fangmeier,Ed Speleers
Rocky Balboa,Rocky Balboa,24000000,155721132.0,131721132.0,1,1,2,102.0,Drama,6,Drama,2006-12-20,Sylvester Stallone,Sylvester Stallone
Fur: An Imaginary Portrait of Diane Arbus,Fur: An Imaginary Portrait of Diane Arbus,16800000,2281089.0,-14518911.0,0,0,1,122.0,Drama,6,"Drama,Mystery,Romance",2006-08-30,Steven Shainberg,Nicole Kidman
Another Gay Movie,Another Gay Movie,500000,745327.0,245327.0,1,1,2,92.0,Comedy,3,"Comedy,Romance",2006-04-28,Todd Stephens,Michael Carbonaro
We Are Marshall,We Are Marshall,65000000,43545364.0,-21454636.0,0,0,1,124.0,Drama,6,Drama,2006-12-12,McG,Matthew McConaughey
The Good Shepherd,The Good Shepherd,85000000,59908565.0,-25091435.0,0,0,5,167.0,Drama,6,"Drama,Thriller,History",2006-12-11,Robert De Niro,Matt Damon
Dreamgirls,Dreamgirls,70000000,154937680.0,84937680.0,1,0,1,134.0,Drama,6,Drama,2006-12-25,Bill Condon,Jamie Foxx
Freedom Writers,Freedom Writers,21000000,41170784.0,20170784.0,1,0,2,123.0,Crime,4,"Crime,Drama",2007-01-05,Richard LaGravenese,Hilary Swank
The History Boys,The History Boys,4000000,13401952.0,9401952.0,1,0,1,109.0,Comedy,3,"Comedy,Drama",2006-10-02,Nicholas Hytner,Samuel Anderson
Notes on a Scandal,Notes on a Scandal,15000000,49469904.0,34469904.0,1,0,2,92.0,Drama,6,"Drama,Romance",2006-12-25,Richard Eyre,Judi Dench
DOA: Dead or Alive,DOA: Dead or Alive,21000000,480314.0,-20519686.0,0,0,1,87.0,Adventure,1,"Adventure,Action,Thriller",2006-09-07,Corey Yuen Kwai,Jaime Pressly
The Good German,The Good German,32000000,5914908.0,-26085092.0,0,0,4,108.0,War,18,"War,Crime,Drama,Mystery,Romance,Thriller",2006-12-08,Steven Soderbergh,George Clooney
Letters from Iwo Jima,Letters from Iwo Jima,19000000,68673228.0,49673228.0,1,1,2,141.0,Action,0,"Action,Adventure,Drama,War",2006-12-19,Clint Eastwood,Ken Watanabe
Black Christmas,Black Christmas,9000000,21510851.0,12510851.0,1,0,2,84.0,Horror,11,"Horror,Thriller",2006-12-25,Glen Morgan,Katie Cassidy
Happily N'Ever After,Happily N'Ever After,47000000,38085778.0,-8914222.0,0,1,1,75.0,Animation,2,"Animation,Comedy,Family,Fantasy,Science Fiction",2006-09-14,Yvette Kaplan,George Carlin
Code Name: The Cleaner,Code Name: The Cleaner,20000000,10337477.0,-9662523.0,0,0,1,84.0,Action,0,"Action,Comedy,Crime",2007-01-05,Les Mayfield,Cedric the Entertainer
Stomp the Yard,Stomp the Yard,13000000,75511123.0,62511123.0,1,1,1,114.0,Drama,6,"Drama,Music",2007-05-16,Sylvain White,Columbus Short
Miss Potter,Miss Potter,30000000,35078241.0,5078241.0,1,0,1,92.0,Drama,6,"Drama,Family,Romance",2006-12-03,Chris Noonan,Ewan McGregor
Arthur and the Invisibles,Arthur et les Minimoys,86000000,107944236.0,21944236.0,1,1,1,94.0,Adventure,1,"Adventure,Fantasy,Animation,Family",2006-12-13,Luc Besson,Freddie Highmore
The Hitcher,The Hitcher,10000000,25399945.0,15399945.0,1,0,1,84.0,Action,0,"Action,Horror,Crime",2007-01-19,Dave Meyers,Sean Bean
Bridge to Terabithia,Bridge to Terabithia,60000000,137587063.0,77587063.0,1,0,1,96.0,Adventure,1,"Adventure,Drama,Family",2007-02-16,Gábor Csupó,Josh Hutcherson
Killer of Sheep,Killer of Sheep,100000,362222.0,262222.0,1,0,1,83.0,Drama,6,Drama,1978-11-14,Charles Burnett,Henry G. Sanders
Waitress,Waitress,2000000,22179430.0,20179430.0,1,0,1,108.0,Comedy,3,Comedy,2007-05-25,Adrienne Shelly,Keri Russell
Catch and Release,Catch and Release,25000000,16158487.0,-8841513.0,0,0,1,111.0,Comedy,3,"Comedy,Drama,Romance",2006-10-20,Susannah Grant,Jennifer Garner
Smokin' Aces,Smokin' Aces,17000000,57103895.0,40103895.0,1,1,1,109.0,Action,0,"Action,Comedy,Crime,Thriller",2006-12-09,Joe Carnahan,Ryan Reynolds
Epic Movie,Epic Movie,20000000,86865564.0,66865564.0,1,0,1,86.0,Action,0,"Action,Adventure,Comedy",2007-01-25,Jason Friedberg,Kal Penn
The Messengers,The Messengers,16000000,1109660.0,-14890340.0,0,1,1,90.0,Mystery,13,"Mystery,Thriller,Horror",2007-02-02,Danny Pang,Kristen Stewart
Hannibal Rising,Hannibal Rising,50000000,82169884.0,32169884.0,1,1,3,121.0,Crime,4,"Crime,Drama,Thriller",2007-02-06,Peter Webber,Gaspard Ulliel
Norbit,Norbit,60000000,95673607.0,35673607.0,1,0,1,101.0,Comedy,3,Comedy,2007-02-08,Brian Robbins,Eddie Murphy
Ratatouille,Ratatouille,150000000,623722818.0,473722818.0,1,0,1,111.0,Animation,2,"Animation,Comedy,Family,Fantasy",2007-06-22,Jan Pinkava,Patton Oswalt
"Paris, je t'aime","Paris, je t'aime",13000000,4857367.0,-8142633.0,0,0,5,120.0,Drama,6,"Drama,Romance",2006-05-16,Isabel Coixet,Steve Buscemi
The Astronaut Farmer,The Astronaut Farmer,13000000,11130889.0,-1869111.0,0,0,1,104.0,Adventure,1,"Adventure,Comedy,Drama,Science Fiction",2006-10-15,Michael Polish,Billy Bob Thornton
It's a Boy Girl Thing,It's a Boy Girl Thing,15500000,7385434.0,-8114566.0,0,0,1,95.0,Comedy,3,"Comedy,Fantasy,Romance",2006-12-26,Nick Hurran,Kevin Zegers
Myra Breckinridge,Myra Breckinridge,5000000,3000000.0,-2000000.0,0,0,1,94.0,Comedy,3,"Comedy,Drama",1970-06-24,Michael Sarne,Raquel Welch
Days of Glory,Indigènes,14500000,22963701.0,8463701.0,1,0,2,128.0,Drama,6,"Drama,History,War",2006-05-25,Rachid Bouchareb,Jamel Debbouze
Unknown,Unknown,3700000,3338228.0,-361772.0,0,0,1,98.0,Crime,4,"Crime,Drama,Mystery,Thriller",2006-11-03,Simon Brand,Jim Caviezel
Trailer Park Boys: The Movie,Trailer Park Boys: The Movie,5000000,3833507.0,-1166493.0,0,1,1,95.0,Comedy,3,Comedy,2006-10-06,Mike Clattenburg,John Paul Tremblay
Ghost Rider,Ghost Rider,110000000,228738393.0,118738393.0,1,1,1,114.0,Thriller,17,"Thriller,Action,Fantasy,Horror",2007-02-16,Mark Steven Johnson,Nicolas Cage
Daddy's Little Girls,Daddy's Little Girls,10000000,31609243.0,21609243.0,1,0,1,100.0,Comedy,3,"Comedy,Drama,Romance",2007-02-14,Tyler Perry,Gabrielle Union
Music and Lyrics,Music and Lyrics,40000000,145896422.0,105896422.0,1,0,1,96.0,Comedy,3,"Comedy,Music,Romance",2007-02-09,Marc Lawrence,Drew Barrymore
The Number 23,The Number 23,30000000,77566815.0,47566815.0,1,0,1,101.0,Thriller,17,"Thriller,Drama,Mystery",2007-02-23,Joel Schumacher,Jim Carrey
Reno 911!: Miami,Reno 911!: Miami,10000000,20342161.0,10342161.0,1,0,2,84.0,Action,0,"Action,Adventure,Comedy,Crime",2007-02-23,Ben Garant,Lennie Loftin
Black Snake Moan,Black Snake Moan,15000000,10903846.0,-4096154.0,0,0,2,116.0,Drama,6,Drama,2006-12-08,Craig Brewer,Samuel L. Jackson
Kidulthood,Kidulthood,994000,165000.0,-829000.0,0,1,1,89.0,Drama,6,Drama,2006-03-03,Menhaj Huda,Aml Ameen
Hot Fuzz,Hot Fuzz,12000000,80573774.0,68573774.0,1,0,1,121.0,Crime,4,"Crime,Action,Comedy",2007-02-14,Edgar Wright,Simon Pegg
Next,Next,70000000,76066841.0,6066841.0,1,0,3,96.0,Action,0,"Action,Science Fiction,Thriller",2007-04-24,Lee Tamahori,Nicolas Cage
Romanzo criminale,Romanzo criminale,818418,4851244.0,4032826.0,1,0,3,152.0,Drama,6,Drama,2005-09-30,Michele Placido,Kim Rossi Stuart
Wise Guys,Wise Guys,13000000,8475466.0,-4524534.0,0,0,1,100.0,Comedy,3,"Comedy,Crime",1986-04-17,Brian De Palma,Danny DeVito
Zodiac,Zodiac,65000000,84785914.0,19785914.0,1,0,1,157.0,Crime,4,"Crime,Drama,Mystery,Thriller",2007-03-02,David Fincher,Jake Gyllenhaal
Zyzzyx Road,Zyzzyx Road,2000000,30.0,-1999970.0,0,0,1,90.0,Thriller,17,Thriller,2006-02-25,John Penney,Katherine Heigl
300,300,65000000,422610419.0,357610419.0,1,1,1,117.0,Action,0,"Action,Adventure,War",2006-12-09,Zack Snyder,Gerard Butler
Starter for 10,Starter for 10,8,21.0,13.0,1,0,2,92.0,Drama,6,"Drama,Comedy,Romance",2006-09-13,Tom Vaughan,James McAvoy
The Host,괴물,11000000,88489643.0,77489643.0,1,0,1,119.0,Horror,11,"Horror,Drama,Science Fiction",2006-07-27,Bong Joon-ho,Song Kang-ho
Becoming Jane,Becoming Jane,16500000,37311672.0,20811672.0,1,0,2,120.0,Drama,6,"Drama,Romance",2007-03-02,Julian Jarrold,Anne Hathaway
The Namesake,The Namesake,12000000,20138836.0,8138836.0,1,0,5,122.0,Drama,6,Drama,2006-09-02,Mira Nair,Kal Penn
I Think I Love My Wife,I Think I Love My Wife,11000000,13196245.0,2196245.0,1,0,1,90.0,Comedy,3,"Comedy,Romance",2007-03-16,Chris Rock,Chris Rock
Premonition,Premonition,20000000,84146832.0,64146832.0,1,0,1,96.0,Thriller,17,"Thriller,Drama,Mystery",2007-02-08,Mennan Yapo,Sandra Bullock
Dead Silence,Dead Silence,20000000,22217407.0,2217407.0,1,0,1,89.0,Horror,11,Horror,2007-03-16,James Wan,Ryan Kwanten
Reign Over Me,Reign Over Me,20000000,22222308.0,2222308.0,1,0,1,124.0,Drama,6,Drama,2007-03-23,Mike Binder,Adam Sandler
Shooter,Shooter,61000000,95696996.0,34696996.0,1,0,1,124.0,Action,0,"Action,Drama,Mystery,Thriller,Crime",2007-03-22,Antoine Fuqua,Mark Wahlberg
TMNT,TMNT,34000000,95608995.0,61608995.0,1,0,1,90.0,Adventure,1,"Adventure,Animation,Comedy,Family",2007-03-23,Kevin Munroe,Chris Evans
Black Book,Zwartboek,21000000,26193068.0,5193068.0,1,0,4,145.0,Drama,6,"Drama,Thriller,War",2006-09-01,Paul Verhoeven,Carice van Houten
The Lookout,The Lookout,16000000,5367030.0,-10632970.0,0,0,1,99.0,Crime,4,"Crime,Drama,Thriller",2007-03-09,Scott Frank,Joseph Gordon-Levitt
The Reaping,The Reaping,40000000,62771059.0,22771059.0,1,0,2,99.0,Thriller,17,"Thriller,Horror",2007-04-05,Stephen Hopkins,Hilary Swank
Meet the Robinsons,Meet the Robinsons,150000000,169332978.0,19332978.0,1,0,1,95.0,Animation,2,"Animation,Comedy,Family",2007-03-23,Stephen J. Anderson,Tom Selleck
Seraphim Falls,Seraphim Falls,18000000,1196307.0,-16803693.0,0,0,1,115.0,Western,19,"Western,Drama",2006-09-13,David Von Ancken,Liam Neeson
Sunshine,Sunshine,50000000,32017803.0,-17982197.0,0,0,1,107.0,Science Fiction,15,"Science Fiction,Thriller",2007-04-05,Danny Boyle,Cillian Murphy
The Hoax,The Hoax,25000000,11772461.0,-13227539.0,0,0,1,116.0,Comedy,3,"Comedy,Drama",2006-10-14,Lasse Hallström,Richard Gere
Goya's Ghosts,Goya's Ghosts,50000000,9448082.0,-40551918.0,0,0,1,114.0,Drama,6,Drama,2006-11-08,Miloš Forman,Javier Bardem
Perfect Stranger,Perfect Stranger,60795000,73090611.0,12295611.0,1,0,2,109.0,Crime,4,"Crime,Drama,Mystery,Thriller",2007-04-12,James Foley,Halle Berry
