title,original_title,budget,revenue,profit,success,belongs_to_collection,count_language,runtime,genre,genre_encode,genres,release_date,director,actors,actorAwardNominations,actorAwardWins,actorMovies,directorAwardNominations,directorAwardWins,directorMovies
The Internship,The Internship,58000000,44000000.0,-14000000.0,0,0,1,119.0,Comedy,3,Comedy,2013-06-07,Shawn Levy,Owen Wilson,49,15,74,11,5,41
Only God Forgives,Only God Forgives,4800000,10337387.0,5537387.0,1,0,2,90.0,Drama,6,"Drama,Thriller,Crime",2013-05-30,Nicolas Winding Refn,Ryan Gosling,142,35,43,51,28,15
The Hangover Part III,The Hangover Part III,103000000,362000072.0,259000072.0,1,1,1,100.0,Comedy,3,Comedy,2013-05-23,Todd Phillips,Bradley Cooper,69,34,65,4,5,15
Fast & Furious 6,Fast & Furious 6,160000000,788679850.0,628679850.0,1,1,3,130.0,Action,0,"Action,Thriller,Crime",2013-05-06,Justin Lin,Vin Diesel,32,8,47,6,3,24
Epic,Epic,100000000,268426634.0,168426634.0,1,0,1,102.0,Animation,2,"Animation,Adventure,Family,Fantasy",2013-05-15,Chris Wedge,Josh Hutcherson,24,19,48,8,6,7
The Past,Le passé,11000000,10631747.0,-368253.0,0,0,1,130.0,Drama,6,"Drama,Mystery",2013-05-17,Asghar Farhadi,Bérénice Bejo,24,15,59,67,86,10
Down Terrace,Down Terrace,31192,10000.0,-21192.0,0,0,1,89.0,Drama,6,"Drama,Action,Comedy",2009-09-01,Ben Wheatley,Robert Hill,0,0,18,23,7,22
The Lords of Salem,The Lords of Salem,1500000,1165882.0,-334118.0,0,0,1,101.0,Horror,11,"Horror,Thriller",2012-09-10,Rob Zombie,Sheri Moon Zombie,1,3,17,6,6,21
Behind the Candelabra,Behind the Candelabra,23000000,15600000.0,-7400000.0,0,0,1,118.0,Drama,6,"Drama,Romance",2013-05-26,Steven Soderbergh,Michael Douglas,42,50,60,81,29,42
Aftershock,Aftershock,2000000,58510.0,-1941490.0,0,0,2,89.0,Horror,11,"Horror,Thriller",2012-09-12,Nicolás López,Eli Roth,9,14,30,4,1,15
After Earth,After Earth,130000000,243843127.0,113843127.0,1,0,1,100.0,Science Fiction,15,"Science Fiction,Action,Adventure",2013-05-30,M. Night Shyamalan,Jaden Smith,20,8,20,39,16,16
Now You See Me,Now You See Me,75000000,117698894.0,42698894.0,1,1,2,115.0,Thriller,17,"Thriller,Crime",2013-05-29,Louis Leterrier,Jesse Eisenberg,57,22,46,0,0,9
Lovelace,Lovelace,10000000,1585582.0,-8414418.0,0,0,1,92.0,Drama,6,Drama,2013-08-08,Rob Epstein,Amanda Seyfried,17,7,53,18,23,18
Special Forces,Forces spéciales,10000000,10759.0,-9989241.0,0,0,2,109.0,Action,0,"Action,Drama,War",2011-11-02,Stéphane Rybojad,Diane Kruger,16,16,47,0,0,3
Redd Inc.,Redd Inc.,500000,1000000.0,500000.0,1,0,1,93.0,Thriller,17,"Thriller,Horror,Comedy",2012-11-03,Daniel Krige,Nicholas Hope,2,1,79,2,5,11
The Way Way Back,The Way Way Back,4600000,23198652.0,18598652.0,1,0,1,103.0,Comedy,3,"Comedy,Drama",2013-06-06,Jim Rash,Liam James,8,2,17,30,20,3
Man of Steel,Man of Steel,225000000,662845518.0,437845518.0,1,1,1,143.0,Action,0,"Action,Adventure,Fantasy,Science Fiction",2013-06-12,Zack Snyder,Henry Cavill,12,2,24,13,4,17
The Big Wedding,The Big Wedding,35000000,21819348.0,-13180652.0,0,0,3,90.0,Comedy,3,Comedy,2013-04-25,Justin Zackham,Robert De Niro,99,55,116,1,1,3
The Purge,The Purge,3000000,89328627.0,86328627.0,1,1,1,86.0,Science Fiction,15,"Science Fiction,Horror,Thriller",2013-05-31,James DeMonaco,Lena Headey,41,6,78,4,1,5
The Bling Ring,The Bling Ring,15000000,19145732.0,4145732.0,1,0,1,90.0,Drama,6,"Drama,Crime",2013-06-12,Sofia Coppola,Katie Chang,0,0,12,77,58,21
Monsters University,Monsters University,200000000,743559607.0,543559607.0,1,1,1,104.0,Animation,2,"Animation,Family",2013-06-20,Dan Scanlon,Billy Crystal,50,34,70,8,2,4
Maniac,Maniac,6000000,31081.0,-5968919.0,0,0,1,89.0,Horror,11,Horror,2012-12-26,Franck Khalfoun,Elijah Wood,44,26,104,2,1,8
Pacific Rim,Pacific Rim,180000000,407602906.0,227602906.0,1,1,1,131.0,Action,0,"Action,Science Fiction,Adventure",2013-07-11,Guillermo del Toro,Idris Elba,83,25,89,117,90,21
The Best Offer,La migliore offerta,13500000,19255873.0,5755873.0,1,0,1,124.0,Drama,6,"Drama,Romance,Crime,Mystery",2013-01-01,Giuseppe Tornatore,Geoffrey Rush,79,45,64,51,54,24
World War Z,World War Z,200000000,531865000.0,331865000.0,1,1,1,116.0,Action,0,"Action,Drama,Horror,Science Fiction,Thriller",2013-06-20,Marc Forster,Brad Pitt,153,67,81,14,7,17
Elysium,Elysium,115000000,286140700.0,171140700.0,1,0,1,109.0,Science Fiction,15,"Science Fiction,Action,Drama,Thriller",2013-08-07,Neill Blomkamp,Matt Damon,142,36,81,36,13,26
What Maisie Knew,What Maisie Knew,6000000,1066471.0,-4933529.0,0,0,1,93.0,Drama,6,Drama,2013-05-02,Scott McGehee,Alexander Skarsgård,15,12,61,11,2,6
Despicable Me 2,Despicable Me 2,76000000,970761885.0,894761885.0,1,1,1,98.0,Animation,2,"Animation,Comedy,Family",2013-06-25,Pierre Coffin,Steve Carell,128,34,73,23,1,8
White House Down,White House Down,150000000,205366737.0,55366737.0,1,0,1,131.0,Action,0,"Action,Drama,Thriller",2013-06-27,Roland Emmerich,Channing Tatum,56,21,55,16,16,25
The World's End,The World's End,20000000,46089287.0,26089287.0,1,0,1,109.0,Comedy,3,"Comedy,Action,Science Fiction",2013-07-18,Edgar Wright,Simon Pegg,21,10,94,32,13,24
Hummingbird,Hummingbird,20000000,8352885.0,-11647115.0,0,0,1,100.0,Action,0,"Action,Thriller",2013-05-07,Steven Knight,Jason Statham,3,1,49,29,13,4
The Heat,The Heat,43000000,158674180.0,115674180.0,1,0,3,117.0,Action,0,"Action,Comedy,Crime",2013-06-27,Paul Feig,Sandra Bullock,112,76,57,11,12,26
The Lone Ranger,The Lone Ranger,255000000,89289910.0,-165710090.0,0,0,1,149.0,Action,0,"Action,Adventure,Western",2013-07-03,Gore Verbinski,Johnny Depp,143,79,91,13,9,12
The Spectacular Now,The Spectacular Now,2500000,6854611.0,4354611.0,1,0,1,95.0,Comedy,3,"Comedy,Drama,Romance",2013-08-02,James Ponsoldt,Miles Teller,22,4,29,8,4,16
Bhaag Milkha Bhaag,Bhaag Milkha Bhaag,4600000,25000000.0,20400000.0,1,0,1,186.0,History,10,"History,Action,Drama",2013-07-12,Rakeysh Omprakash Mehra,Farhan Akhtar,24,28,17,3,15,9
R.I.P.D.,R.I.P.D.,130000000,61648500.0,-68351500.0,0,0,1,96.0,Fantasy,8,"Fantasy,Action,Comedy,Crime",2013-07-18,Robert Schwentke,Jeff Bridges,107,46,90,4,11,12
The Conjuring,The Conjuring,13000000,318000141.0,305000141.0,1,1,1,112.0,Horror,11,"Horror,Thriller",2013-07-18,James Wan,Patrick Wilson,18,4,51,11,14,13
Turbo,Turbo,135000000,282570682.0,147570682.0,1,0,1,96.0,Animation,2,"Animation,Family",2013-07-11,David Soren,Ryan Reynolds,44,17,81,4,0,5
The Wolverine,The Wolverine,120000000,415440673.0,295440673.0,1,1,1,126.0,Action,0,"Action,Science Fiction,Adventure,Fantasy",2013-07-23,James Mangold,Hugh Jackman,87,29,57,16,9,15
The Breath,Nefes: Vatan Sağolsun,2000000,13500000.0,11500000.0,1,0,1,128.0,Action,0,"Action,Adventure,Drama,History,War",2009-10-15,Levent Semerci,Birce Akalay,0,0,15,1,1,2
2 Guns,2 Guns,61000000,131940411.0,70940411.0,1,0,2,109.0,Action,0,"Action,Comedy,Crime",2013-08-02,Baltasar Kormákur,Denzel Washington,168,83,56,27,34,16
Lost in Thailand,人再囧途之泰囧,2200000,208000000.0,205800000.0,1,0,1,105.0,Comedy,3,Comedy,2012-12-12,Xu Zheng,Wang Baoqiang,5,8,38,1,0,1
Blue Jasmine,Blue Jasmine,18000000,99206215.0,81206215.0,1,0,1,98.0,Comedy,3,"Comedy,Drama",2013-07-25,Woody Allen,Cate Blanchett,187,152,70,213,136,55
The Great Beauty,La grande bellezza,12400000,8371085.0,-4028915.0,0,0,4,142.0,Comedy,3,"Comedy,Drama",2013-05-21,Paolo Sorrentino,Toni Servillo,18,27,39,85,64,27
The Canyons,The Canyons,250000,56825.0,-193175.0,0,0,1,99.0,Thriller,17,"Thriller,Drama",2013-07-29,Paul Schrader,Lindsay Lohan,36,19,54,26,23,23
Percy Jackson: Sea of Monsters,Percy Jackson: Sea of Monsters,90000000,174578751.0,84578751.0,1,1,1,106.0,Adventure,1,"Adventure,Family,Fantasy",2013-08-07,Thor Freudenthal,Logan Lerman,21,7,29,1,3,20
The Smurfs 2,The Smurfs 2,105000000,347434178.0,242434178.0,1,1,1,105.0,Fantasy,8,"Fantasy,Family,Comedy,Animation",2013-07-30,Raja Gosnell,Hank Azaria,36,17,94,0,0,12
Alan Partridge: Alpha Papa,Alan Partridge: Alpha Papa,4000000,9800000.0,5800000.0,1,0,1,90.0,Comedy,3,Comedy,2013-07-24,Declan Lowney,Steve Coogan,46,16,118,8,3,51
Class of 1999,Class of 1999,5200000,2459895.0,-2740105.0,0,1,1,99.0,Science Fiction,15,"Science Fiction,Thriller",1990-05-11,Mark L. Lester,Bradley Gregg,0,0,42,3,3,34
Man of Tai Chi,Man of Tai Chi,25000000,2054941.0,-22945059.0,0,0,3,105.0,Action,0,"Action,Drama",2013-07-04,Keanu Reeves,Keanu Reeves,22,12,96,22,12,1
We're the Millers,We're the Millers,37000000,269994119.0,232994119.0,1,1,1,110.0,Comedy,3,"Comedy,Crime",2013-08-07,Rawson Marshall Thurber,Jason Sudeikis,7,1,64,2,0,14
Grown Ups 2,Grown Ups 2,80000000,246984278.0,166984278.0,1,1,1,100.0,Comedy,3,Comedy,2013-07-11,Dennis Dugan,Adam Sandler,77,54,74,4,1,38
Kick-Ass 2,Kick-Ass 2,28000000,60700000.0,32700000.0,1,1,1,103.0,Action,0,"Action,Adventure,Crime",2013-07-17,Jeff Wadlow,Aaron Taylor-Johnson,18,4,40,1,8,10
Riddick,Riddick,38000000,98337295.0,60337295.0,1,1,1,119.0,Science Fiction,15,"Science Fiction,Action,Thriller",2013-09-02,David Twohy,Vin Diesel,32,8,47,8,1,9
Planes,Planes,50000000,219788712.0,169788712.0,1,1,1,91.0,Animation,2,"Animation,Family,Adventure,Comedy",2013-08-09,Klay Hall,Dane Cook,4,3,46,0,0,1
Cameron's Closet,Cameron's Closet,7000000,136203.0,-6863797.0,0,0,2,87.0,Horror,11,Horror,1988-12-02,Armand Mastroianni,Cotter Smith,0,0,88,1,0,65
Paranoia,Paranoia,35000000,13785015.0,-21214985.0,0,0,1,106.0,Drama,6,"Drama,Thriller",2013-08-14,Robert Luketic,Liam Hemsworth,16,6,29,4,4,11
The Wind Rises,風立ちぬ,30000000,117932401.0,87932401.0,1,0,4,126.0,Animation,2,Animation,2013-07-20,Hayao Miyazaki,Hideaki Anno,3,10,15,46,76,29
Jobs,Jobs,12000000,35931410.0,23931410.0,1,0,1,128.0,Drama,6,"Drama,History",2013-08-16,Joshua Michael Stern,Ashton Kutcher,40,18,36,0,0,5
The Mortal Instruments: City of Bones,The Mortal Instruments: City of Bones,60000000,90565421.0,30565421.0,1,0,1,130.0,Action,0,"Action,Adventure,Drama,Mystery,Romance,Fantasy",2013-08-21,Harald Zwart,Lily Collins,6,5,23,1,2,17
The Butler,The Butler,25000000,115922175.0,90922175.0,1,0,1,132.0,Drama,6,Drama,2013-08-16,Lee Daniels,Forest Whitaker,56,56,126,28,32,7
In a World...,In a World...,1000000,2963902.0,1963902.0,1,0,1,93.0,Comedy,3,Comedy,2013-08-09,Lake Bell,Lake Bell,13,6,55,14,6,7
About Time,About Time,12000000,87100449.0,75100449.0,1,0,1,123.0,Comedy,3,"Comedy,Drama,Science Fiction",2013-08-16,Richard Curtis,Domhnall Gleeson,11,5,46,36,20,5
Chennai Express,Chennai Express,18000000,62000000.0,44000000.0,1,0,2,141.0,Romance,14,"Romance,Comedy,Action",2013-08-09,Rohit Shetty,Shah Rukh Khan,63,75,103,9,5,14
The Frozen Ground,The Frozen Ground,27220000,5496951.0,-21723049.0,0,0,1,105.0,Thriller,17,"Thriller,Crime",2013-07-18,Scott Walker,Nicolas Cage,65,45,97,0,0,2
Empire State,Empire State,11000000,3639345.0,-7360655.0,0,0,1,94.0,Action,0,"Action,Drama",2013-09-03,Dito Montiel,Liam Hemsworth,16,6,29,8,3,7
The Immortals,The Immortals,50,83.0,33.0,1,0,3,98.0,Action,0,"Action,Crime,Drama,Thriller",1995-10-05,Brian Grant,Eric Roberts,17,16,516,3,0,122
Tidal Wave,해운대,16000000,11301649.0,-4698351.0,0,0,2,120.0,Action,0,"Action,Adventure,Drama,Thriller",2009-06-06,Yoon Je-kyoon,Park Joong-hoon,6,6,38,0,0,1
Adore,Adore,16000000,318982.0,-15681018.0,0,0,1,100.0,Drama,6,Drama,2013-04-03,Anne Fontaine,Naomi Watts,88,57,85,21,7,17
Instructions Not Included,No se Aceptan Devoluciones,5500000,99067206.0,93567206.0,1,0,2,115.0,Comedy,3,"Comedy,Drama",2013-07-20,Eugenio Derbez,Loreto Peralta,3,3,9,4,6,29
Getaway,Getaway,18000000,10501938.0,-7498062.0,0,0,1,90.0,Action,0,"Action,Crime",2013-08-29,Courtney Solomon,Ethan Hawke,118,30,78,1,0,3
Gravity,Gravity,105000000,716392705.0,611392705.0,1,0,1,91.0,Science Fiction,15,"Science Fiction,Thriller,Drama",2013-09-27,Alfonso Cuarón,Sandra Bullock,112,76,57,105,110,17
What If,What If,11000000,7847000.0,-3153000.0,0,0,1,93.0,Drama,6,"Drama,Comedy,Romance",2013-09-07,Michael Dowse,Daniel Radcliffe,43,15,39,13,4,14
Prisoners,Prisoners,46000000,122126687.0,76126687.0,1,0,1,153.0,Drama,6,"Drama,Thriller,Crime",2013-09-18,Denis Villeneuve,Hugh Jackman,87,29,57,78,74,17
Out of the Furnace,Out of the Furnace,22000000,15400000.0,-6600000.0,0,0,1,116.0,Thriller,17,"Thriller,Drama,Crime",2013-12-06,Scott Cooper,Christian Bale,83,66,52,7,3,5
Austenland,Austenland,4900000,2159041.0,-2740959.0,0,0,1,97.0,Comedy,3,"Comedy,Romance",2013-08-15,Jerusha Hess,Keri Russell,35,8,43,1,0,1
Rush,Rush,38000000,90247624.0,52247624.0,1,0,4,123.0,Drama,6,"Drama,Action",2013-09-02,Ron Howard,Daniel Brühl,27,24,71,75,39,43
The Family,The Family,30000000,36894225.0,6894225.0,1,0,1,111.0,Crime,4,"Crime,Comedy,Action",2013-09-13,Luc Besson,Robert De Niro,99,55,116,26,28,31
The To Do List,The To Do List,1500000,3566225.0,2066225.0,1,0,1,104.0,Comedy,3,"Comedy,Romance",2013-07-24,Maggie Carey,Aubrey Plaza,20,4,66,2,2,24
Grand Masti,Grand Masti,5500000,47000000.0,41500000.0,1,1,1,140.0,Comedy,3,"Comedy,Drama,Romance",2013-09-13,Indra Kumar,Ritesh Deshmukh,12,9,51,0,0,17
Battle of the Year,Battle of the Year,20000000,16549477.0,-3450523.0,0,0,1,110.0,Music,12,"Music,Drama",2013-09-21,Benson Lee,Josh Holloway,20,3,27,2,6,4
Out on a Limb,Out on a Limb,11000000,1659542.0,-9340458.0,0,0,1,82.0,Comedy,3,Comedy,1992-09-04,Francis Veber,Matthew Broderick,15,4,77,6,3,12
Nebraska,Nebraska,12000000,17654912.0,5654912.0,1,0,2,115.0,Drama,6,"Drama,Adventure",2013-09-21,Alexander Payne,Bruce Dern,35,17,170,125,83,14
Metallica: Through the Never,Metallica: Through the Never,18000000,7972967.0,-10027033.0,0,0,1,93.0,Music,12,Music,2013-09-25,Nimród Antal,Dane DeHaan,5,2,32,5,10,10
Special 26,स्पेशल 26,7100000,18000000.0,10900000.0,1,0,1,144.0,Crime,4,"Crime,Drama,Thriller",2013-02-07,Neeraj Pandey,Akshay Kumar,34,16,136,6,2,7
Runner Runner,Runner Runner,30000000,62616646.0,32616646.0,1,0,1,91.0,Crime,4,"Crime,Thriller,Drama",2013-09-24,Brad Furman,Ben Affleck,110,73,70,0,0,13
Blue Is the Warmest Color,La vie d'Adèle - Chapitres 1 et 2,4300000,10165694.0,5865694.0,1,0,2,179.0,Romance,14,"Romance,Drama",2013-10-09,Abdellatif Kechiche,Adèle Exarchopoulos,26,26,20,40,61,8
Parkland,Parkland,10000000,653651.0,-9346349.0,0,0,1,94.0,History,10,"History,Drama,Thriller,Mystery",2013-10-02,Peter Landesman,Zac Efron,32,30,56,7,1,3
On the Job,On the Job,1052753,466088.0,-586665.0,0,0,5,120.0,Action,0,"Action,Crime",2013-05-23,Erik Matti,Piolo Pascual,23,20,60,23,11,24
Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2,78000000,248384621.0,170384621.0,1,1,1,95.0,Animation,2,"Animation,Family,Comedy",2013-09-26,Cody Cameron,Bill Hader,33,7,104,0,0,1
Captain Phillips,Captain Phillips,55000000,95000000.0,40000000.0,1,0,2,134.0,Action,0,"Action,Drama,Thriller",2013-10-10,Paul Greengrass,Tom Hanks,152,84,88,67,38,19
Machete Kills,Machete Kills,12000000,15008161.0,3008161.0,1,1,2,107.0,Action,0,"Action,Crime,Thriller",2013-09-12,Robert Rodriguez,Danny Trejo,6,3,371,28,38,43
Filth,Filth,5000000,9114264.0,4114264.0,1,0,1,97.0,Crime,4,"Crime,Drama,Comedy",2013-09-23,Jon S. Baird,James McAvoy,32,18,54,4,1,9
Drona,Drona,15000000,3250000.0,-11750000.0,0,0,1,150.0,Action,0,"Action,Foreign,Thriller",2008-10-02,Goldie Behl,Abhishek Bachchan,23,26,64,1,0,4
Baggage Claim,Baggage Claim,8500000,22456509.0,13956509.0,1,0,1,96.0,Comedy,3,Comedy,2013-09-27,David E. Talbert,Paula Patton,12,1,27,1,1,16
Stitches,Stitches,100000,95000.0,-5000.0,0,0,1,86.0,Horror,11,Horror,2012-05-19,Conor McMahon,Ross Noble,0,0,7,2,2,10
Escape Plan,Escape Plan,50000000,122915111.0,72915111.0,1,0,4,115.0,Action,0,"Action,Thriller",2013-10-09,Mikael Håfström,Sylvester Stallone,65,59,83,10,5,18
Carrie,Carrie,30000000,82394288.0,52394288.0,1,0,1,100.0,Drama,6,"Drama,Horror",2013-10-16,Kimberly Peirce,Chloë Grace Moretz,41,27,66,13,15,16
The Fifth Estate,The Fifth Estate,28000000,8555008.0,-19444992.0,0,0,1,128.0,Drama,6,"Drama,Thriller",2013-10-11,Bill Condon,Benedict Cumberbatch,105,32,74,44,19,19
The Counselor,The Counselor,25000000,71009334.0,46009334.0,1,0,1,117.0,Thriller,17,"Thriller,Crime,Drama",2013-10-25,Ridley Scott,Michael Fassbender,141,78,60,93,47,48
12 Years a Slave,12 Years a Slave,20000000,187000000.0,167000000.0,1,0,1,134.0,Drama,6,"Drama,History",2013-10-18,Steve McQueen,Chiwetel Ejiofor,75,54,50,88,84,31
All Is Lost,All Is Lost,9000000,6108720.0,-2891280.0,0,0,1,106.0,Action,0,"Action,Adventure,Drama",2013-10-18,J.C. Chandor,Robert Redford,50,40,79,20,11,5
Ender's Game,Ender's Game,110000000,125537191.0,15537191.0,1,0,1,114.0,Science Fiction,15,"Science Fiction,Action,Adventure",2013-10-23,Gavin Hood,Asa Butterfield,17,5,23,7,27,12
Bad Grandpa,Jackass Presents: Bad Grandpa,15000000,151831537.0,136831537.0,1,1,1,92.0,Comedy,3,Comedy,2013-10-22,Jeff Tremaine,Johnny Knoxville,13,0,44,0,0,18
Thor: The Dark World,Thor: The Dark World,170000000,644571402.0,474571402.0,1,1,1,112.0,Action,0,"Action,Adventure,Fantasy",2013-10-29,Alan Taylor,Chris Hemsworth,32,11,39,15,6,35
Dallas Buyers Club,Dallas Buyers Club,5000000,55198285.0,50198285.0,1,0,2,117.0,Drama,6,"Drama,History",2013-09-07,Jean-Marc Vallée,Matthew McConaughey,80,48,68,28,32,15
Pieta,피에타,103000,3623330.0,3520330.0,1,0,1,104.0,Drama,6,Drama,2012-09-05,Kim Ki-duk,Jo Min-soo,5,6,8,47,60,24
Free Birds,Free Birds,55000000,110000000.0,55000000.0,1,0,1,91.0,Animation,2,"Animation,Comedy,Family",2013-10-30,Jimmy Hayward,Owen Wilson,49,15,74,0,0,4
Last Vegas,Last Vegas,28000000,134402450.0,106402450.0,1,0,1,105.0,Comedy,3,Comedy,2013-10-31,Jon Turteltaub,Robert De Niro,99,55,116,2,0,20
Philomena,Philomena,12000000,100129872.0,88129872.0,1,0,1,98.0,Drama,6,Drama,2013-11-01,Stephen Frears,Judi Dench,174,63,125,72,67,63
The Best Man Holiday,The Best Man Holiday,17000000,71625195.0,54625195.0,1,1,1,123.0,Comedy,3,Comedy,2013-11-15,Malcolm D. Lee,Terrence Howard,55,34,93,14,3,16
Ida,Ida,2159280,15298355.0,13139075.0,1,0,1,80.0,Drama,6,Drama,2013-10-25,Paweł Pawlikowski,Agata Trzebuchowska,7,1,2,43,55,13
The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,130000000,847423452.0,717423452.0,1,1,1,146.0,Adventure,1,"Adventure,Action,Science Fiction",2013-11-15,Francis Lawrence,Jennifer Lawrence,176,115,31,16,5,69
The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,250000000,958400000.0,708400000.0,1,1,1,161.0,Adventure,1,"Adventure,Fantasy",2013-12-11,Peter Jackson,Martin Freeman,31,10,83,134,137,21
47 Ronin,47 Ronin,175000000,150962475.0,-24037525.0,0,0,2,119.0,Drama,6,"Drama,Action,Adventure,Fantasy",2013-12-06,Carl Rinsch,Keanu Reeves,22,12,96,0,0,5
Delivery Man,Delivery Man,26000000,51164106.0,25164106.0,1,0,1,105.0,Comedy,3,Comedy,2013-10-10,Ken Scott,Vince Vaughn,14,7,67,0,0,1
Twice Born,Venuto al mondo,13000000,18295.0,-12981705.0,0,0,3,127.0,Drama,6,"Drama,Romance,War",2012-09-13,Sergio Castellitto,Penélope Cruz,106,53,79,35,32,7
Frozen,Frozen,150000000,1274219009.0,1124219009.0,1,1,1,102.0,Animation,2,"Animation,Adventure,Family",2013-11-27,Chris Buck,Kristen Bell,39,12,94,11,12,6
Inside Llewyn Davis,Inside Llewyn Davis,11000000,32935319.0,21935319.0,1,0,1,105.0,Drama,6,"Drama,Music",2013-10-06,Joel Coen,Oscar Isaac,50,21,47,296,138,25
The Wolf of Wall Street,The Wolf of Wall Street,100000000,392000694.0,292000694.0,1,0,2,180.0,Crime,4,"Crime,Drama,Comedy",2013-12-25,Martin Scorsese,Leonardo DiCaprio,210,98,42,214,142,61
Homefront,Homefront,22000000,43058898.0,21058898.0,1,0,1,100.0,Action,0,"Action,Thriller",2013-11-27,Gary Fleder,Jason Statham,3,1,49,3,3,43
Mandela: Long Walk to Freedom,Mandela: Long Walk to Freedom,35000000,27330000.0,-7670000.0,0,0,3,141.0,Drama,6,"Drama,History",2013-12-06,Justin Chadwick,Idris Elba,83,25,89,10,18,22
August: Osage County,August: Osage County,25000000,74188937.0,49188937.0,1,0,1,121.0,Comedy,3,"Comedy,Drama",2013-12-26,John Wells,Meryl Streep,359,174,84,8,30,2
Amen,ആമേൻ,110000,270000.0,160000.0,1,0,1,165.0,Fantasy,8,"Fantasy,Music,Romance",2013-03-21,Lijo Jose Pellissery,Fahadh Faasil,2,5,48,1,1,8
Sweetwater,Sweetwater,7000000,6147.0,-6993853.0,0,0,1,95.0,Western,19,"Western,Thriller",2013-01-24,Logan Miller,Ed Harris,51,32,103,2,2,1
American Hustle,American Hustle,40000000,251171807.0,211171807.0,1,0,1,138.0,Drama,6,"Drama,Crime",2013-12-12,David O. Russell,Christian Bale,83,66,52,100,48,13
The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,90000000,188133322.0,98133322.0,1,0,1,114.0,Adventure,1,"Adventure,Comedy,Drama,Fantasy",2013-12-18,Ben Stiller,Ben Stiller,59,13,125,59,13,18
Her,Her,23000000,47351251.0,24351251.0,1,0,1,126.0,Romance,14,"Romance,Science Fiction,Drama",2013-12-18,Spike Jonze,Joaquin Phoenix,114,37,52,114,62,100
Lone Survivor,Lone Survivor,40000000,149295601.0,109295601.0,1,0,1,121.0,Action,0,"Action,Drama,Thriller,War",2013-12-24,Peter Berg,Mark Wahlberg,71,22,65,19,5,28
Saving Mr. Banks,Saving Mr. Banks,35000000,112544580.0,77544580.0,1,0,1,125.0,Comedy,3,"Comedy,Drama,History",2013-11-16,John Lee Hancock,Emma Thompson,108,62,82,5,3,9
The Nutcracker: The Untold Story,The Nutcracker: The Untold Story,90000000,16178959.0,-73821041.0,0,0,2,110.0,Fantasy,8,"Fantasy,Action,Family",2010-11-24,Andrei Konchalovsky,Elle Fanning,38,10,58,39,33,28
A Perfect Man,A Perfect Man,5000000,388.0,-4999612.0,0,0,1,95.0,Drama,6,Drama,2013-11-01,Kees Van Oostrum,Jeanne Tripplehorn,7,1,41,6,3,7
Oldboy,Oldboy,30000000,4861022.0,-25138978.0,0,0,1,104.0,Drama,6,"Drama,Thriller,Mystery,Action",2013-11-14,Spike Lee,Josh Brolin,50,12,70,78,53,82
Aquí Entre Nos,Aquí Entre Nos,1,2755584.0,2755583.0,1,0,1,73.0,Comedy,3,Comedy,2012-03-30,Patricia Martínez de Velasco,Jesús Ochoa,4,4,106,1,5,5
Anchorman 2: The Legend Continues,Anchorman 2: The Legend Continues,50000000,173649015.0,123649015.0,1,1,1,119.0,Comedy,3,Comedy,2013-12-18,Adam McKay,Will Ferrell,72,14,107,31,23,23
Snowpiercer,Snowpiercer,39200000,86758912.0,47558912.0,1,0,4,126.0,Action,0,"Action,Science Fiction,Drama",2013-08-01,Bong Joon-ho,Chris Evans,36,6,52,49,49,14
The Precocious and Brief Life of Sabina Rivas,La vida precoz y breve de Sabina Rivas,4620000,2395000.0,-2225000.0,0,0,1,115.0,Drama,6,Drama,2012-11-09,Luis Mandoki,Joaquín Cosio,7,2,83,5,4,23
Fun Size,Fun Size,14000000,11417362.0,-2582638.0,0,0,1,87.0,Comedy,3,Comedy,2012-10-25,Josh Schwartz,Victoria Justice,16,3,48,1,0,2
The Physician,The Physician,32000000,57284237.0,25284237.0,1,0,1,155.0,Adventure,1,"Adventure,Drama,History",2013-12-25,Philipp Stölzl,Tom Payne,0,0,24,8,2,29
Mio in the Land of Faraway,Mio min Mio,7200000,2300000.0,-4900000.0,0,0,1,99.0,Adventure,1,"Adventure,Drama,Fantasy,Family,Mystery",1987-07-01,Vladimir Grammatikov,Nick Pickard,2,1,13,2,1,18
The Hijack That Went South,Kaappari,1800000,532269.0,-1267731.0,0,0,1,93.0,Action,0,"Action,Comedy,Crime",2013-01-17,Aleksi Mäkelä,Kari Hietalahti,2,1,97,5,5,36
Grudge Match,Grudge Match,40000000,44907260.0,4907260.0,1,0,1,113.0,Comedy,3,Comedy,2013-12-25,Peter Segal,Robert De Niro,99,55,116,1,0,27
Dhoom,Dhoom,1500000,12000000.0,10500000.0,1,1,3,124.0,Action,0,"Action,Crime,Drama,Thriller",2004-08-27,Sanjay Gadhvi,Abhishek Bachchan,23,26,64,1,0,6
Paranormal Activity: The Marked Ones,Paranormal Activity: The Marked Ones,5000000,86362372.0,81362372.0,1,1,1,84.0,Horror,11,"Horror,Thriller",2014-01-01,Christopher B. Landon,Andrew Jacobs,0,0,5,2,1,7
